request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_63,52426.05,not_affordable,not_recommended,none,,none,Do not proceed with the INR 343900 request. None of the available options keeps the INR 153500 minimum protected.
request_64,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 63700 request. None of the available options keeps the INR 36100 minimum protected.
request_65,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 54340 request. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves the INR 80700 minimum protected over the next 90 days.
request_67,292.95,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 2024-11-15, then pay USD 2094 in full. Paying earlier would take the balance below the USD 1200 minimum."
request_68,1361.56,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This keeps the USD 1500 minimum protected throughout the plan."
request_69,517.79,affordable_with_plan,full_payment,2026-01-04:529.1,2026-02-15,reduce_to:event_6407:36.81,"Reduce event_6407 to eur 36.81, then pay EUR 529.1 today. This leaves the EUR 700 minimum protected."
request_70,49475.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 2025-02-15, then pay INR 243900 in full. Paying earlier would take the balance below the INR 115000 minimum."
request_71,1449585.93,affordable_later,wait,2025-07-15:21451000,2025-07-15,none,"Wait until 2025-07-15, then pay IDR 21451000 in full. Paying earlier would take the balance below the IDR 8884800 minimum."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves the ZAR 12200 minimum protected over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves the INR 103200 minimum protected over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves the ZAR 21900 minimum protected over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This keeps the ZAR 39000 minimum protected throughout the plan."
request_76,1385.68,not_affordable,not_recommended,none,2024-06-21,none,Do not proceed with the USD 4455.6 request. None of the available options keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves the INR 82200 minimum protected over the next 90 days.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. This leaves the INR 55200 minimum protected over the next 90 days.
request_79,402.81,not_affordable,not_recommended,none,2024-11-15,none,Do not proceed with the EUR 2151.6 request. None of the available options keeps the EUR 1000 minimum protected.
request_80,152115,not_affordable,not_recommended,none,2025-02-07,none,Do not proceed with the INR 217500 request. None of the available options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves the USD 1600 minimum protected over the next 90 days.
request_82,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 1405.2 request. None of the available options keeps the USD 1100 minimum protected.
request_83,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 156200 request. None of the available options keeps the INR 37800 minimum protected.
request_84,41243.28,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Wait until 2026-05-15, then pay INR 95400 in full. Paying earlier would take the balance below the INR 91300 minimum."
request_85,374061.81,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 19304000 request. None of the available options keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves the INR 84900 minimum protected over the next 90 days.
request_87,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 487900 request. None of the available options keeps the INR 185900 minimum protected.
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This keeps the ZAR 25800 minimum protected throughout the plan."
request_89,9226703.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8335|reduce_to:event_8403:203300|reduce_to:event_8337:453958.66,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This keeps the IDR 12534700 minimum protected throughout the plan."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves the ZAR 7600 minimum protected over the next 90 days.
request_91,286.92,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 1927.2 in full. Paying earlier would take the balance below the EUR 2100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves the ZAR 28100 minimum protected over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today. This leaves the USD 1900 minimum protected over the next 90 days.
request_94,558.51,affordable_with_plan,full_payment,2024-12-04:572,,reduce_to:event_8803:36.85,"Reduce event_8803 to eur 36.85, then pay EUR 572 today. This leaves the EUR 600 minimum protected."
request_95,4013.74,not_affordable,not_recommended,none,,none,Do not proceed with the INR 553000 request. None of the available options keeps the INR 145500 minimum protected.
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31269.33, starting 2026-01-10. This keeps the INR 56500 minimum protected throughout the plan."
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This keeps the ZAR 29700 minimum protected throughout the plan."
request_98,9548.75,affordable_later,wait,2025-08-15:27148,2025-08-15,none,"Wait until 2025-08-15, then pay ZAR 27148 in full. Paying earlier would take the balance below the ZAR 30000 minimum."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This leaves the ZAR 49100 minimum protected over the next 90 days.
request_100,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 37114 request. None of the available options keeps the ZAR 32500 minimum protected.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves the INR 187400 minimum protected over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This keeps the EUR 900 minimum protected throughout the plan."
request_103,1095.3,not_affordable,not_recommended,none,,none,Do not proceed with the INR 368300 request. None of the available options keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This leaves the ZAR 24700 minimum protected over the next 90 days.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This leaves the INR 73900 minimum protected over the next 90 days.
request_106,440.12,affordable_later,wait,2024-12-15:2207.7,2024-12-15,none,"Wait until 2024-12-15, then pay EUR 2207.7 in full. Paying earlier would take the balance below the EUR 1200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2534.4 request. None of the available options keeps the EUR 1600 minimum protected.
request_108,7836.4,affordable_later,wait,2026-07-22:55308,2026-07-22,none,"Wait until 2026-07-22, then pay ZAR 55308 in full. Paying earlier would take the balance below the ZAR 24100 minimum."
request_109,655.95,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This keeps the EUR 1700 minimum protected throughout the plan."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This keeps the ZAR 11200 minimum protected throughout the plan."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves the IDR 23022800 minimum protected over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today. This leaves the EUR 500 minimum protected over the next 90 days.
request_113,26346.89,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait until 2026-09-15, then pay INR 36500 in full. Paying earlier would take the balance below the INR 82300 minimum."
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This leaves the INR 113400 minimum protected over the next 90 days.
request_115,14552.2,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 80500 in full. Paying earlier would take the balance below the INR 38800 minimum."
request_116,7550.39,not_affordable,not_recommended,none,,none,Do not proceed with the INR 241200 request. None of the available options keeps the INR 80300 minimum protected.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This leaves the EUR 1000 minimum protected over the next 90 days.
request_118,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 738.1 request. None of the available options keeps the EUR 600 minimum protected.
request_119,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 203500 request. None of the available options keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves the IDR 20050300 minimum protected over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This leaves the USD 800 minimum protected over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This keeps the IDR 12588500 minimum protected throughout the plan."
request_123,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 4076000 request. None of the available options keeps the IDR 18091200 minimum protected.
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This keeps the EUR 1600 minimum protected throughout the plan."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This leaves the ZAR 11300 minimum protected over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves the INR 129700 minimum protected over the next 90 days.
request_127,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 23980 request. None of the available options keeps the ZAR 41000 minimum protected.
request_128,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 25168 request. None of the available options keeps the ZAR 42600 minimum protected.
request_129,154.54,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2668.8 request. None of the available options keeps the USD 800 minimum protected.
request_130,405.41,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"Wait until 2025-02-15, then pay USD 1978.8 in full. Paying earlier would take the balance below the USD 1400 minimum."
request_131,1110.68,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This keeps the USD 1100 minimum protected throughout the plan."
request_132,366.67,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Wait until 2026-01-15, then pay USD 379.86 in full. Paying earlier would take the balance below the USD 1100 minimum."
request_133,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 15770000 request. None of the available options keeps the IDR 9986200 minimum protected.
request_134,4469014.82,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 2025-10-15, then pay IDR 21831000 in full. Paying earlier would take the balance below the IDR 15902500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This leaves the USD 500 minimum protected over the next 90 days.
request_136,496.37,affordable_later,wait,2024-06-15:560.4,2024-06-15,none,"Wait until 2024-06-15, then pay USD 560.4 in full. Paying earlier would take the balance below the USD 1100 minimum."
request_137,24928.9,not_affordable,not_recommended,none,,none,Do not proceed with the INR 80100 request. None of the available options keeps the INR 71800 minimum protected.
request_138,955.53,affordable_with_plan,partial_payment,2026-04-07:955.53|2026-04-15:301.41,2026-04-15,none,A two-step payment is safe: EUR 955.53 today and EUR 301.41 on 2026-04-15. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1278.14,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,stop:event_12741,"Use 3 installments of USD 802.88, starting 2024-09-07. This keeps the USD 1500 minimum protected throughout the plan."
request_140,1622.98,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 62832 request. None of the available options keeps the ZAR 21600 minimum protected.
request_141,26725.52,not_affordable,not_recommended,none,,none,Do not proceed with the INR 171600 request. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 today. This leaves the USD 1700 minimum protected over the next 90 days.
request_143,2653.42,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 2025-07-15, then pay ZAR 12584 in full. Paying earlier would take the balance below the ZAR 11300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves the USD 600 minimum protected over the next 90 days.
request_145,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 217400 request. None of the available options keeps the INR 155400 minimum protected.
request_146,22509.01,not_affordable,not_recommended,none,,none,Do not proceed with the INR 449400 request. None of the available options keeps the INR 108600 minimum protected.
request_147,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1129.7 request. None of the available options keeps the EUR 900 minimum protected.
request_148,7665.48,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,reduce_to:event_13594:1120.75,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This keeps the ZAR 20000 minimum protected throughout the plan."
request_149,24545.82,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This keeps the ZAR 42100 minimum protected throughout the plan."
request_150,320.78,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,reduce_to:event_13787:25.32,"Use 3 installments of EUR 171.98, starting 2026-01-06. This keeps the EUR 700 minimum protected throughout the plan."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves the IDR 31633600 minimum protected over the next 90 days.
request_152,11035.96,not_affordable,not_recommended,none,2025-04-15,none,Do not proceed with the ZAR 13882 request. None of the available options keeps the ZAR 11900 minimum protected.
request_153,134.61,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2830.8 request. None of the available options keeps the USD 1400 minimum protected.
request_154,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1625.8 request. None of the available options keeps the EUR 1300 minimum protected.
request_155,38766.17,not_affordable,not_recommended,none,,none,Do not proceed with the INR 112500 request. None of the available options keeps the INR 56300 minimum protected.
request_156,10841.2,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Wait until 2026-05-15, then pay ZAR 43076 in full. Paying earlier would take the balance below the ZAR 26900 minimum."
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 2024-05-15, then pay IDR 23503000 in full. Paying earlier would take the balance below the IDR 15714100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This keeps the INR 131400 minimum protected throughout the plan."
request_159,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 13398 request. None of the available options keeps the ZAR 8700 minimum protected.
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This keeps the EUR 1200 minimum protected throughout the plan."
request_161,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 21204000 request. None of the available options keeps the IDR 23010400 minimum protected.
request_162,2135411.93,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 83923000 request. None of the available options keeps the IDR 24161100 minimum protected.
request_163,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 19304000 request. None of the available options keeps the IDR 26728700 minimum protected.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This keeps the IDR 29550500 minimum protected throughout the plan."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This leaves the INR 95000 minimum protected over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This keeps the USD 1700 minimum protected throughout the plan."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves the ZAR 31200 minimum protected over the next 90 days.
request_168,37408.8,affordable_with_plan,partial_payment,2026-01-07:37408.8|2026-01-15:11971.2,2026-01-15,none,A two-step payment is safe: INR 37408.8 today and INR 11971.2 on 2026-01-15. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves the ZAR 18700 minimum protected over the next 90 days.
request_170,30183194.4,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This keeps the IDR 24715800 minimum protected throughout the plan."
request_171,69.57,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1878.8 request. None of the available options keeps the EUR 500 minimum protected.
request_172,9598.68,affordable_with_plan,partial_payment,2024-06-05:9598.68|2024-06-15:601.32,2024-06-15,none,A two-step payment is safe: ZAR 9598.68 today and ZAR 601.32 on 2024-06-15. This completes the full request and keeps the ZAR 27200 minimum protected.
request_173,59531.88,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This keeps the INR 79100 minimum protected throughout the plan."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This keeps the EUR 700 minimum protected throughout the plan."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. This leaves the EUR 1700 minimum protected over the next 90 days.
request_176,623.67,affordable_later,wait,2025-02-21:1239.7,2025-02-21,none,"Wait until 2025-02-21, then pay EUR 1239.7 in full. Paying earlier would take the balance below the EUR 600 minimum."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today. This leaves the USD 1300 minimum protected over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This keeps the EUR 1400 minimum protected throughout the plan."
request_179,6458243.33,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15, then pay IDR 41648000 in full. Paying earlier would take the balance below the IDR 41430800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves the INR 37300 minimum protected over the next 90 days.
request_181,288.24,not_affordable,not_recommended,none,,none,Do not proceed with the USD 5059.2 request. None of the available options keeps the USD 2000 minimum protected.
request_182,24490.28,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 65714 request. None of the available options keeps the ZAR 31100 minimum protected.
request_183,25123826.81,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This keeps the IDR 11878300 minimum protected throughout the plan."
request_184,17722.94,not_affordable,not_recommended,none,,none,Do not proceed with the INR 251900 request. None of the available options keeps the INR 110800 minimum protected.
request_185,318.41,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,"Wait until 2026-01-15, then pay EUR 1257.3 in full. Paying earlier would take the balance below the EUR 1300 minimum."
request_186,7248.99,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 26554 request. None of the available options keeps the ZAR 22000 minimum protected.
request_187,38384.36,affordable_later,wait,2024-09-15:187500,2024-09-15,none,"Wait until 2024-09-15, then pay INR 187500 in full. Paying earlier would take the balance below the INR 128300 minimum."
request_188,26.3,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2464 request. None of the available options keeps the EUR 900 minimum protected.
